D1-1-in,D1-1-out,D1-2-in,D1-2-out,D3-1-in,D3-1-out,D3-2-in,D3-2-out,D4-1-in,D4-1-out,D4-2-in,D4-2-out
-0.5012785,0.06383,-0.7556405,-1.40E-04,-0.741967,3.30E-04,-0.518624,0.06537,-0.7901195,0.00406,-0.283621,0.06922
-0.4939385,0.06504,-0.7479245,2.30E-04,-0.7340405,3.50E-04,-0.51132,0.06533,-0.782822,0.00361,-0.2762955,0.06868
-0.486561,0.06453,-0.7402715,-4.00E-05,-0.726083,2.80E-04,-0.5040125,0.0652,-0.775504,0.00324,-0.268965,0.06963
-0.47922,0.06396,-0.7326395,3.50E-04,-0.7181155,2.90E-04,-0.496708,0.06528,-0.768217,0.00304,-0.261626,0.06892
-0.471925,0.06307,-0.7249515,3.80E-04,-0.7101135,2.30E-04,-0.4892945,0.06671,-0.760868,0.0034,-0.2542865,0.06913
-0.464638,0.06367,-0.7172855,1.70E-04,-0.7021355,3.00E-04,-0.48191,0.0646,-0.753486,0.00348,-0.2469375,0.06802
-0.45726,0.06428,-0.7095945,4.20E-04,-0.6942575,2.60E-04,-0.474625,0.06489,-0.746163,0.00371,-0.239669,0.0671
-0.449893,0.0632,-0.7018985,5.10E-04,-0.6863615,2.90E-04,-0.4673305,0.06416,-0.7388515,0.00354,-0.2324055,0.06809
-0.442537,0.06382,-0.694319,1.90E-04,-0.678365,2.90E-04,-0.460004,0.06507,-0.731581,0.00322,-0.225038,0.06908
-0.435179,0.06253,-0.6866765,2.80E-04,-0.6703295,2.90E-04,-0.4526445,0.06486,-0.724253,0.00351,-0.2176675,0.06809
-0.4278735,0.06257,-0.679,2.30E-04,-0.6623365,3.00E-04,-0.4453095,0.06402,-0.716921,0.00396,-0.2103465,0.06777
-0.4206225,0.06127,-0.6712735,1.90E-04,-0.6543495,2.80E-04,-0.4379235,0.06496,-0.709583,0.00364,-0.203069,0.06761
-0.4133885,0.06167,-0.663549,1.10E-04,-0.646386,3.10E-04,-0.430568,0.06332,-0.702211,0.00381,-0.1957895,0.06755
-0.405995,0.06396,-0.6558785,3.70E-04,-0.638382,2.90E-04,-0.423348,0.0621,-0.694913,0.00337,-0.1884195,0.06838
-0.3985905,0.06181,-0.648202,1.10E-04,-0.6303905,2.90E-04,-0.4161305,0.06296,-0.687632,0.0038,-0.1810715,0.06729
-0.391244,0.06228,-0.6405045,1.40E-04,-0.622448,3.00E-04,-0.4087515,0.06479,-0.6803595,0.00401,-0.1737235,0.06819
-0.3838895,0.06147,-0.632809,3.10E-04,-0.61447,3.10E-04,-0.4013495,0.06275,-0.672973,0.00382,-0.1663775,0.06701
-0.3765685,0.06123,-0.625136,4.20E-04,-0.6064565,2.90E-04,-0.394025,0.06283,-0.665577,0.00345,-0.159106,0.06686
-0.3692145,0.06135,-0.617465,4.50E-04,-0.5984155,3.00E-04,-0.386665,0.06314,-0.6582375,0.00354,-0.1519045,0.06515
-0.36189,0.06027,-0.609763,3.70E-04,-0.5904245,3.10E-04,-0.3793055,0.06182,-0.650876,0.00345,-0.1446735,0.06703
-0.3545835,0.06056,-0.6020395,3.20E-04,-0.582426,3.00E-04,-0.3719125,0.06304,-0.643539,0.00304,-0.137254,0.06864
-0.347279,0.05963,-0.5943525,2.30E-04,-0.574454,3.00E-04,-0.364527,0.06186,-0.6361815,0.00304,-0.129831,0.0663
-0.3398895,0.06137,-0.586663,2.30E-04,-0.5665185,3.30E-04,-0.357222,0.06097,-0.6288625,0.00312,-0.122458,0.06738
-0.3324765,0.05952,-0.578957,3.10E-04,-0.558471,3.30E-04,-0.349917,0.06112,-0.621551,0.00348,-0.1151295,0.06586
-0.325103,0.05976,-0.5712885,2.50E-04,-0.5504355,3.30E-04,-0.3425745,0.06109,-0.6142205,0.00381,-0.1078085,0.07003
-0.317711,0.05929,-0.5636525,2.60E-04,-0.5424775,3.20E-04,-0.335177,0.06114,-0.6068395,0.00357,-0.1000975,0.06914
-0.3104085,0.05803,-0.555903,2.40E-04,-0.534539,3.30E-04,-0.327833,0.05975,-0.5994615,0.00349,-0.092453,0.0684
-0.303108,0.0585,-0.5481455,2.70E-04,-0.526578,3.70E-04,-0.320494,0.06054,-0.592126,0.00364,-0.0848115,0.06864
-0.2957665,0.05792,-0.5404945,2.60E-04,-0.5186025,4.00E-04,-0.3131225,0.05928,-0.584784,0.00387,-0.0769645,0.06754
-0.2883715,0.05863,-0.5328315,2.60E-04,-0.5106575,-1.30E-04,-0.3058125,0.05881,-0.5774455,0.00456,-0.0691675,0.07047
-0.280977,0.05717,-0.52514,2.50E-04,-0.5027115,7.40E-04,-0.2985005,0.05853,-0.570099,0.00481,-0.0614005,0.06753
-0.2736515,0.05676,-0.517493,3.30E-04,-0.494764,5.30E-04,-0.2911,0.05907,-0.562768,0.00489,-0.053653,0.06929
-0.266332,0.05625,-0.5098655,3.70E-04,-0.4867465,3.70E-04,-0.2836835,0.05787,-0.555357,0.00465,-0.045872,0.06739
-0.2589965,0.05624,-0.5022505,3.80E-04,-0.478765,2.60E-04,-0.2763645,0.05686,-0.5479465,0.00412,-0.038171,0.06733
-0.251677,0.05516,-0.494605,3.60E-04,-0.470858,3.00E-04,-0.2690485,0.05674,-0.540635,0.00432,-0.030429,0.06724
-0.2443705,0.05485,-0.486865,2.80E-04,-0.4629165,4.50E-04,-0.2617135,0.05604,-0.5333285,0.00425,-0.022615,0.06799
-0.237089,0.05369,-0.479154,3.00E-04,-0.454924,3.30E-04,-0.2543725,0.05563,-0.5259865,0.00481,-0.0148215,0.06623
-0.229818,0.05361,-0.471547,2.70E-04,-0.4469375,3.10E-04,-0.247033,0.05483,-0.51866,0.00486,-0.0069805,0.06821
-0.222448,0.05403,-0.4639225,3.20E-04,-0.4389435,3.70E-04,-0.2397615,0.05346,-0.51135,0.00448,0.001048,0.0684
-0.2150755,0.05268,-0.4562055,1.90E-04,-0.430973,3.70E-04,-0.2324895,0.05332,-0.5040535,0.00423,0.0089265,0.06686
-0.2077705,0.05179,-0.4485455,1.00E-05,-0.4230915,3.60E-04,-0.225129,0.05652,-0.4967665,0.00414,0.0167635,0.06443
-0.200454,0.05418,-0.440859,5.70E-04,-0.415238,4.20E-04,-0.217594,0.05445,-0.489356,0.00402,0.0246115,0.06331
-0.19296,0.05337,-0.4331545,8.00E-05,-0.407201,4.00E-04,-0.2099215,0.05384,-0.481981,0.00384,0.0322805,0.0627
-0.1853125,0.05219,-0.4255895,3.50E-04,-0.3991585,3.90E-04,-0.20229,0.05191,-0.4746985,0.00373,0.039976,0.06289
-0.177645,0.05162,-0.417999,2.50E-04,-0.3912,3.80E-04,-0.1946655,0.05156,-0.46741,0.00372,0.047728,0.0622
-0.169881,0.05109,-0.410299,2.80E-04,-0.383208,3.80E-04,-0.1869985,0.05083,-0.4600885,0.0037,0.055484,0.06161
-0.162202,0.04896,-0.402544,2.90E-04,-0.375226,4.50E-04,-0.1793215,0.04918,-0.452714,0.0037,0.0631705,0.05979
-0.15469,0.04768,-0.394821,3.50E-04,-0.3672235,3.80E-04,-0.171585,0.04888,-0.445367,0.00382,0.07083,0.05898
-0.147133,0.04702,-0.387135,3.70E-04,-0.3592865,4.30E-04,-0.1639055,0.04656,-0.437989,0.00398,0.078565,0.05895
-0.139415,0.04767,-0.37947,3.70E-04,-0.3513225,4.20E-04,-0.15637,0.04424,-0.4306425,0.00379,0.0863035,0.05745
-0.13169,0.04498,-0.37178,3.70E-04,-0.343319,4.50E-04,-0.148813,0.04357,-0.4234165,0.00361,0.094063,0.05667
-0.1239955,0.04431,-0.3640825,4.50E-04,-0.3352805,4.40E-04,-0.14109,0.04367,-0.416193,0.00358,0.101805,0.05527
-0.116337,0.04236,-0.356428,3.80E-04,-0.3272665,4.30E-04,-0.1333335,0.04038,-0.40883,0.00396,0.109489,0.05122
-0.108678,0.04203,-0.348757,3.90E-04,-0.319293,4.60E-04,-0.125665,0.03909,-0.4014315,0.00429,0.1169675,0.05438
-0.1007235,0.04018,-0.341049,3.80E-04,-0.3113045,4.70E-04,-0.117985,0.03747,-0.394095,0.00443,0.1244,0.04747
-0.09302,0.03809,-0.3333415,3.40E-04,-0.303336,5.00E-04,-0.1103045,0.03512,-0.3867295,0.0047,0.131947,0.04736
-0.085368,0.03685,-0.325659,3.70E-04,-0.295344,4.90E-04,-0.1026115,0.0335,-0.379381,0.00429,0.1393465,0.0447
-0.0775325,0.03472,-0.317962,4.10E-04,-0.287292,4.90E-04,-0.094733,0.03118,-0.3720095,0.00437,0.146717,0.04309
-0.069754,0.03431,-0.3103005,4.50E-04,-0.2792705,4.60E-04,-0.08705,0.0288,-0.364619,0.00447,0.1540565,0.04019
-0.061973,0.03159,-0.302657,4.40E-04,-0.271318,4.90E-04,-0.0793845,0.02689,-0.357313,0.00436,0.1613865,0.03903
-0.054248,0.03006,-0.294994,4.50E-04,-0.2633495,5.20E-04,-0.0714385,0.02527,-0.350005,0.00477,0.168741,0.03583
-0.0464925,0.02778,-0.2872475,4.30E-04,-0.2553805,5.30E-04,-0.0636575,0.02245,-0.3426555,0.00486,0.1760585,0.03374
-0.0387915,0.02698,-0.279489,3.70E-04,-0.2473975,5.70E-04,-0.055904,0.02144,-0.335266,0.00488,0.183361,0.03072
-0.030946,0.02476,-0.2718365,3.60E-04,-0.2394825,5.60E-04,-0.048053,0.01869,-0.327908,0.00559,0.1906595,0.02824
-0.022922,0.02287,-0.264189,3.60E-04,-0.231567,5.80E-04,-0.040135,0.01659,-0.320545,0.00653,0.1980725,0.02625
-0.0148805,0.0203,-0.256532,3.40E-04,-0.223548,6.40E-04,-0.0321895,0.01475,-0.313168,0.00683,0.2054775,0.02239
-0.0067425,0.0182,-0.24889,3.70E-04,-0.2155525,6.50E-04,-0.0241925,0.01302,-0.3058595,0.00669,0.212865,0.02025
0.0013905,0.01619,-0.241272,3.70E-04,-0.2076245,6.80E-04,-0.016125,0.01128,-0.298559,0.00667,0.220256,0.01762
0.009247,0.01422,-0.233643,3.80E-04,-0.199702,7.00E-04,-0.0079845,0.0096,-0.291176,0.00678,0.2275465,0.01538
0.017063,0.01228,-0.2259545,3.90E-04,-0.191717,7.30E-04,1.62E-04,0.00837,-0.2837635,0.00684,0.2348635,0.01386
0.025016,0.01063,-0.218229,4.20E-04,-0.1837395,7.60E-04,0.008019,0.00714,-0.27645,0.00699,0.242168,0.01168
0.0329495,0.00892,-0.2103945,5.40E-04,-0.1757545,8.00E-04,0.0158285,0.00617,-0.2691405,0.00835,0.2495525,0.01016
0.0408675,0.00745,-0.202466,4.90E-04,-0.1677465,8.70E-04,0.023806,0.00527,-0.2618115,0.00889,0.256964,0.00863
0.048878,0.00641,-0.194529,5.10E-04,-0.159789,8.90E-04,0.031721,0.00449,-0.2544835,0.00981,0.264297,0.00801
